run_id,checkpoint,benchmark,task,category,prompt_id,prompt_hash,expected_behavior,observed_behavior,exact_match,strict_parse_success,permissive_parse_success,schema_valid,nontrivial_error,primary_error,call_count,expected_call_count,generated_sha256,generation_input_tokens,generation_output_tokens
r004,sft_best,sft_dev,sft_dev,xlam,xlam:29834,4af810c2c64de96c6c290a4beb978d9fb9bff375a91d2631c06abcacf55dd9b4,tool_call,tool_call,True,True,True,True,False,,2,2,b7f8ee31f327b4f5fce9acc08438d6cdcfdb73cb60c5acd563c11f4d85b162aa,138,74
r004,sft_best,sft_dev,sft_dev,xlam,xlam:30193,b81a6a4d0d7d778b2758a26be4318a61e45c74f9d283c235cb83ee081901eeb7,tool_call,tool_call,True,True,True,True,False,,1,1,d9d1a541b186b3473f9c3adeb370b542b5a98097f43721ff9ac9e2c6c62746c1,234,74
r004,sft_best,sft_dev,sft_dev,xlam,xlam:10263,989daf0627320204abd8b84b815cd6c2c07b9ca6c9e1493b68da534f9d15c181,tool_call,tool_call,True,True,True,True,False,,1,1,5b46e73a8ad21fe07459e8fc424e074e3ad62a2a38c2edcbfa75fe70945c80cd,409,74
r004,sft_best,sft_dev,sft_dev,xlam,xlam:53130,2b632f9a0f7fcbd3e02248089d822f73271ef2b3c2b098a925d7372a6a5310ba,tool_call,tool_call,True,True,True,True,False,,4,4,b285949926bc209716295d3fc56030eb922b93437c3b55cfe8a62ce6862593cc,134,74
r004,sft_best,sft_dev,sft_dev,xlam,xlam:14742,386b3210fb78ff7bb6cb95403cb433e35ead3e8f93947571c4f94c7e364ea917,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,9e186fa89fb6b11448a3a21bfdd4e45e44e6570df46ba039eb19fe7a04448198,190,74
r004,sft_best,sft_dev,sft_dev,xlam,xlam:45334,e944f4f4573e031bad93fdb70ea7225cf316c1baebeca11cdecb08d40088bb34,tool_call,tool_call,True,True,True,True,False,,1,1,03b70726bf49c1faa4eeed5fbcad58e6f25936fc8cb26ec0cc1a581899b416bf,386,74
r004,sft_best,sft_dev,sft_dev,xlam,xlam:54520,2be07a9780f3516add568710769ebddb42be86cf2b41d070ca0a22c63badbcc1,tool_call,tool_call,True,True,True,True,False,,1,1,53d416dd2bd875d5f991483acca89e154a3ac48df44c12d6a0600f43884e0ab8,162,74
r004,sft_best,sft_dev,sft_dev,xlam,xlam:1591,f708f0aaf398dfe026ede352907a0dfbf9ce5ebbdb6851c469cb181b31acd55f,tool_call,tool_call,True,True,True,True,False,,1,1,3866aca8e54e0b91b0357536d08e88b1d36d4dc8cd8879b5d3b0e13ec13a644b,310,74
r004,sft_best,sft_dev,sft_dev,xlam,xlam:35369,5286e7f20749d6675931417837aba67348951b955a2b335ea868206260701482,tool_call,tool_call,True,True,True,True,False,,2,2,e1ea6385f4976a97d529d4bbba3c39cf5fd4b2d3d365a6ef321eb85d5c425490,381,79
r004,sft_best,sft_dev,sft_dev,xlam,xlam:41381,ff0a1d3b6aa1b6c65554e7948e1a3ba26f3a6b256ef8fbc6e6f1ce16f1f44f3b,tool_call,tool_call,True,True,True,True,False,,1,1,739f24328ac3c7eea8ee87432cf1bda1d3c909677c91a7d0a3a7fb6304e7dc11,354,79
r004,sft_best,sft_dev,sft_dev,xlam,xlam:23492,2b8d3e1618e2e590829be5f14e2a8be988d9c3fbd7a9d486bf69141faea08c82,tool_call,tool_call,True,True,True,True,False,,2,2,e82329bca00b3d2eb8e941e641214b32bb290c6aeacffea17586896113e515fa,92,79
r004,sft_best,sft_dev,sft_dev,xlam,xlam:50281,70fc3b4e893292d498c93a690f112dfbad8580ce3f1e9fbba37cee2f0033a633,tool_call,tool_call,True,True,True,True,False,,2,2,03783e0bf0261253ed9cc914112e20288c82290d11d5c6670ec4276eda141a4b,441,79
r004,sft_best,sft_dev,sft_dev,xlam,xlam:59281,328ad21afd3ef2dbb67e14318766c7969f9ea9084e11d8702864740d2b538322,tool_call,tool_call,True,True,True,True,False,,1,1,fcd116268d742c3a4854f1f9739d4f4d58467c91a59231fcf35e9f8a45f2c809,758,79
r004,sft_best,sft_dev,sft_dev,xlam,xlam:54354,c16d6f87c0a50d6b68fc10662bc165d16b73f8e645049ed260b1a62abf94fd4e,tool_call,tool_call,True,True,True,True,False,,2,2,b0b335896fefc3bb1773bb74b2cbda9c10b6522ce76079cabfab6c3e52a97102,610,79
r004,sft_best,sft_dev,sft_dev,xlam,xlam:39950,0d2e403a09eb2f71d0c62dc63a68299b7c0a03986574279b07af8accb8210ec4,tool_call,tool_call,True,True,True,True,False,,2,2,f4c093106bdfab42f7963dc2eba97ccc9e3429a0b693e0f076a4cf03332acae2,239,79
r004,sft_best,sft_dev,sft_dev,xlam,xlam:18357,ae11d1e5e49b12c6e39da947877ce7e91ecd3afc54af133eedb9338a9502e1a1,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,1,1,0fa32f50f912c3130dbbba1a8ee9046fc7a74438c9b18ce9737d004f6de01a96,253,79
r004,sft_best,sft_dev,sft_dev,xlam,xlam:23268,16f77371d323548623db7ba0684a31c34b1cf2fd018a9e244c7ab890a36b25c0,tool_call,tool_call,True,True,True,True,False,,1,1,876bf309bd5a52986e04be017815ec3b3ebd84558fc472f95d8c0771cc3eeeac,341,63
r004,sft_best,sft_dev,sft_dev,xlam,xlam:57562,f1e0e74b2e74370076fc25997e04b4b20859ad1dab31081d6ee63b18680c8c64,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,3015a94265e49727b3194c5640091b945d4faa4fe8118340cbd3433d991df251,692,63
r004,sft_best,sft_dev,sft_dev,xlam,xlam:39445,e76c45ebcc299ea5bfd30928519db762f715d8674907550636b89febe3de694b,tool_call,tool_call,True,True,True,True,False,,1,1,3b563e171515dff0ece5d7c3b393a58b0206ce3ba3ed9cac091f2bce63aacb42,997,63
r004,sft_best,sft_dev,sft_dev,xlam,xlam:54285,c8739098c5aa2ac1bc3f4c8d767bd980a3e0a1fec4d8e73f6f70cae47d87f13e,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,1,1,ee6a35718ade2a28021d8c9dc14d2166f6c774b3b947dd5e5fccfcee5581b7fa,497,63
r004,sft_best,sft_dev,sft_dev,xlam,xlam:39909,6840ca369268460c55db4e7b3f21a92125f594b1f67b59a08d6045cb28c66cfc,tool_call,tool_call,True,True,True,True,False,,2,2,3f23805c7de2de456b25df451b2f4a635dde2442d7aac1eaec00e8caa53633b1,402,63
r004,sft_best,sft_dev,sft_dev,xlam,xlam:36726,8677e567105b64e3e7790bd4f3953b46194143d16f0d41510ffb89e26600a41b,tool_call,tool_call,True,True,True,True,False,,2,2,c7d66d6de75f2f62db6668863769abec7c962d301090706e147d0aff20c11b45,376,63
r004,sft_best,sft_dev,sft_dev,xlam,xlam:37598,bd686ace8333b593688e6ccd1416fb4c9af5e2d20a808fc975f15480eeabfd80,tool_call,tool_call,True,True,True,True,False,,1,1,f47f631b7990e8502ef74c5b9225dfe16a9837c3380a4cc255efd8e8c952fba3,657,63
r004,sft_best,sft_dev,sft_dev,xlam,xlam:44649,d34bda11f64fed484200c4445c5ace46af71faad6f9b05cffa87845d31613605,tool_call,tool_call,True,True,True,True,False,,1,1,a67821c665124a1955cdc3973430277853b7b0a5eda433e5ff31f87a46e75e0f,141,63
r004,sft_best,sft_dev,sft_dev,xlam,xlam:24410,819dac27cc8e29635aeac2d3038c37bd87bc1bbc587cf0de0e0218dd4869260b,tool_call,tool_call,True,True,True,True,False,,2,2,c8ba4657dfddec9fd35483a028f59cc2f49fec27aa34d225020e4e1f66d6bc43,440,89
r004,sft_best,sft_dev,sft_dev,xlam,xlam:29001,34bab98365292b204003a48572090bf9576e3d4463e5f3c96a214097375361b4,tool_call,tool_call,True,True,True,True,False,,1,1,536f929c22e87322b4f3c60fffaa9baefadc94583bc2f8a904bb5a3af60e6ea8,163,89
r004,sft_best,sft_dev,sft_dev,xlam,xlam:9141,ef70d8e604c8b7a77d0657362dcbeaff99f15c9c42195d27b034aadca80d9be3,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,3,3,ccdde496116fc7e57328bea25a37d05429f13ba71d84f761d87f226b9e3306e8,257,89
r004,sft_best,sft_dev,sft_dev,xlam,xlam:4579,37779777d94e0eaee1054b6ecf17e46737a51bd175392ceb59736d8b16f4051b,tool_call,tool_call,True,True,True,True,False,,1,1,46a2ba391b54df8908d9ffac57124941458ab16721d24e10b09622302fee764a,388,89
r004,sft_best,sft_dev,sft_dev,xlam,xlam:29169,c06196759212fcd7aaa62f44f91d866c9389c8903dfb66d575b48f8944ea7a80,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,21cd1126f99b4642d4524c23277ac061b2e4fdc3081e50c95001b36754939d5d,178,89
r004,sft_best,sft_dev,sft_dev,xlam,xlam:9408,6151656669e660cabf9a97a0efaf86063a1892aeca29c63418b96663b39418dd,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,e7ab003943974b98c7f6dc9262cd1853c05a7d1e177874c1e2fd9d1632b8fc58,152,89
r004,sft_best,sft_dev,sft_dev,xlam,xlam:42356,a700cf8c36054f382acc622bc533f11ec51dffc98571ab9b8246a81068b7f213,tool_call,tool_call,True,True,True,True,False,,3,3,6120984e688f6e5250ad58dfc4e60c4d5c07f7e0a3d001598f32e8a3c5e595a7,292,89
r004,sft_best,sft_dev,sft_dev,xlam,xlam:32200,4d64036dbbf8d33af3c4c7567323102db9610d200faa29ae6585e198e35643c3,tool_call,tool_call,True,True,True,True,False,,1,1,fd22c613267fc9be4b8e553dbfeda1040674fbae21fe256997aefc735231cab3,245,89
r004,sft_best,sft_dev,sft_dev,xlam,xlam:54479,5f7e461bc52ceaed10a5178ed9991058135b825ab4585f8e6144ea9576667b63,tool_call,tool_call,False,True,True,True,True,wrong_argument_value,2,2,e93b11f6243cd5ca89f1900d9ad884d420fdc77c1d8e607f5b46a3be97ba1aad,228,96
r004,sft_best,sft_dev,sft_dev,xlam,xlam:19067,b225d51ee000d08cdc9c109696af30ab6b8fdb1077ad786ef7011b4b6e127401,tool_call,tool_call,True,True,True,True,False,,1,1,4ed4a8a02af05e03fb5793893bf196d45d64cc20ec7cf13d8880eb200150d405,562,96
